date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2016-01-05,1309.07,12.52,0.97,,,,,,
2016-01-04,1296.55,-32.17,-2.42,,,,,,
2015-12-30,1328.72,17.84,1.36,,,,,,
2015-12-29,1310.88,-4.5,-0.34,,,,,,
2015-12-28,1315.38,-16.58,-1.24,,,,,,
2015-12-24,1331.96,-11.85,-0.88,,,,,,
2015-12-23,1343.81,3.82,0.29,,,,,,
2015-12-22,1339.99,1.44,0.11,,,,,,
2015-12-21,1338.55,7.03,0.53,,,,,,
2015-12-18,1331.52,-8.58,-0.64,,,,,,
2015-12-17,1340.1,11.39,0.86,,,,,,
2015-12-16,1328.71,16.62,1.27,,,,,,
2015-12-15,1312.09,-1.85,-0.14,,,,,,
2015-12-14,1313.94,-18.66,-1.4,,,,,,
2015-12-11,1332.6,15.68,1.19,,,,,,
2015-12-10,1316.92,2.35,0.18,,,,,,
2015-12-09,1314.57,-11.11,-0.84,,,,,,
2015-12-08,1325.68,-7.13,-0.53,,,,,,
2015-12-07,1332.81,-0.34,-0.03,,,,,,
2015-12-04,1333.15,-9.62,-0.72,,,,,,
2015-12-03,1342.77,-6.25,-0.46,,,,,,
2015-12-02,1349.02,-11.87,-0.87,,,,,,
2015-12-01,1360.89,13.59,1.01,,,,,,
2015-11-30,1347.3,-2.43,-0.18,,,,,,
2015-11-27,1349.73,11.11,0.83,,,,,,
2015-11-26,1338.62,10.17,0.77,,,,,,
2015-11-25,1328.45,1.7,0.13,,,,,,
2015-11-24,1326.75,1.7,0.13,,,,,,
2015-11-23,1325.05,1.26,0.1,,,,,,
2015-11-20,1323.79,10.68,0.81,,,,,,
2015-11-19,1313.11,15.9,1.23,,,,,,
2015-11-18,1297.21,3.66,0.28,,,,,,
2015-11-17,1293.55,6.54,0.51,,,,,,
2015-11-16,1287.01,-20.76,-1.59,,,,,,
2015-11-13,1307.77,-1.45,-0.11,,,,,,
2015-11-12,1309.22,1.12,0.09,,,,,,
2015-11-11,1308.1,6.93,0.53,,,,,,
2015-11-10,1301.17,-29.13,-2.19,,,,,,
2015-11-09,1330.3,-12.07,-0.9,,,,,,
2015-11-06,1342.37,-6.6,-0.49,,,,,,
2015-11-05,1348.97,12.84,0.96,,,,,,
2015-11-04,1336.13,18.16,1.38,,,,,,
2015-11-03,1317.97,3.62,0.28,,,,,,
2015-11-02,1314.35,-9.5,-0.72,,,,,,
2015-10-30,1323.85,-5.69,-0.43,,,,,,
2015-10-29,1329.54,-6.76,-0.51,,,,,,
2015-10-28,1336.3,2.09,0.16,,,,,,
2015-10-27,1334.21,-5.22,-0.39,,,,,,
2015-10-26,1339.43,15.19,1.15,,,,,,
2015-10-23,1324.24,25.32,1.95,,,,,,
2015-10-22,1298.92,-35.37,-2.65,,,,,,
2015-10-21,1334.29,-6.55,-0.49,,,,,,
2015-10-20,1340.84,-3.83,-0.28,,,,,,
2015-10-19,1344.67,-1.14,-0.08,,,,,,
2015-10-16,1345.81,6.55,0.49,,,,,,
2015-10-15,1339.26,0.22,0.02,,,,,,
2015-10-14,1339.04,-7.76,-0.58,,,,,,
2015-10-13,1346.8,1.46,0.11,,,,,,
2015-10-12,1345.34,3.74,0.28,,,,,,
2015-10-08,1341.6,-2.44,-0.18,,,,,,
2015-10-07,1344.04,-13.45,-0.99,,,,,,
2015-10-06,1357.49,12.56,0.93,,,,,,
2015-10-05,1344.93,-5.88,-0.44,,,,,,
2015-10-02,1350.81,-12.08,-0.89,,,,,,
2015-10-01,1362.89,17.56,1.31,,,,,,
2015-09-30,1345.33,15.92,1.2,,,,,,
2015-09-25,1329.41,-2.55,-0.19,,,,,,
2015-09-24,1331.96,7.2,0.54,,,,,,
2015-09-23,1324.76,-12.81,-0.96,,,,,,
2015-09-22,1337.57,14.04,1.06,,,,,,
2015-09-21,1323.53,-9.5,-0.71,,,,,,
2015-09-18,1333.03,7.73,0.58,,,,,,
2015-09-17,1325.3,6.74,0.51,,,,,,
2015-09-16,1318.56,9.81,0.75,,,,,,
2015-09-15,1308.75,3.09,0.24,,,,,,
2015-09-14,1305.66,-21.3,-1.61,,,,,,
2015-09-11,1326.96,-8.16,-0.61,,,,,,
2015-09-10,1335.12,15.25,1.16,,,,,,
2015-09-09,1319.87,38.03,2.97,,,,,,
2015-09-08,1281.84,7.32,0.57,,,,,,
2015-09-07,1274.52,-1.95,-0.15,,,,,,
2015-09-04,1276.47,-24.12,-1.85,,,,,,
2015-09-03,1300.59,1.07,0.08,,,,,,
2015-09-02,1299.52,7.31,0.57,,,,,,
2015-09-01,1292.21,-28.31,-2.14,,,,,,
2015-08-31,1320.52,-2.41,-0.18,,,,,,
2015-08-28,1322.93,15.54,1.19,,,,,,
2015-08-27,1307.39,1.39,0.11,,,,,,
2015-08-26,1306,25.41,1.98,,,,,,
2015-08-25,1280.59,-0.94,-0.07,,,,,,
2015-08-24,1281.53,-27.15,-2.07,,,,,,
2015-08-21,1308.68,-22.5,-1.69,,,,,,
2015-08-20,1331.18,-18.54,-1.37,,,,,,
2015-08-19,1349.72,-6.11,-0.45,,,,,,
2015-08-18,1355.83,-15.2,-1.11,,,,,,
2015-08-17,1371.03,0.11,0.01,,,,,,
2015-08-13,1370.92,-5.97,-0.43,,,,,,
2015-08-12,1376.89,11.08,0.81,,,,,,
2015-08-11,1365.81,3.25,0.24,,,,,,
