date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2018-10-29,557.7,-9.21,-1.62,568.42,577.42,556.1,30677,770365,1.52E+08
2018-10-26,566.91,-17.94,-3.07,585.66,585.66,561.9,27910,735236,1.55E+08
2018-10-25,584.85,-5.63,-0.95,578.17,587.36,574.44,24296,751145,1.60E+08
2018-10-24,590.48,-1.39,-0.23,596.78,597.32,588.35,26668,752831,1.61E+08
2018-10-23,591.87,-17.02,-2.8,606.44,609.55,588.83,21469,663105,1.62E+08
2018-10-22,608.89,-5.32,-0.87,610.85,610.85,603.18,17112,564188,1.66E+08
2018-10-19,614.21,1.42,0.23,608.06,615.64,600.44,19553,602301,1.68E+08
2018-10-18,612.79,-7.72,-1.24,618.86,621.72,610.83,20276,561573,1.67E+08
2018-10-17,620.51,6.03,0.98,623.03,625.67,615.88,19424,594416,1.69E+08
2018-10-16,614.48,1.77,0.29,616.31,618.09,610.81,17041,525345,1.68E+08
2018-10-15,612.71,-2.35,-0.38,614.78,620.37,611.17,22638,713737,1.67E+08
2018-10-12,615.06,8.45,1.39,607.68,618.88,603.88,29798,894560,1.68E+08
2018-10-11,606.61,-35.16,-5.48,620.73,627.62,606.42,42905,1354992,1.66E+08
2018-10-10,641.77,-17.93,-2.72,659.18,661,639.49,41460,1383974,1.75E+08
2018-10-08,659.7,-11.81,-1.76,669.63,671.51,659.61,28080,830071,1.79E+08
2018-10-05,671.51,-1.73,-0.26,669.09,674.84,663.36,30854,962586,1.82E+08
2018-10-04,673.24,-2.12,-0.31,680.91,681.48,670.66,33658,1208256,1.82E+08
2018-10-02,675.36,0.04,0.01,674.19,681,673.1,35699,1103896,1.83E+08
2018-10-01,675.32,2.2,0.33,674.74,676.32,670.63,30069,974312,1.83E+08
2018-09-28,673.12,-6.33,-0.93,680.1,680.51,668.24,47439,1549782,1.83E+08
2018-09-27,679.45,5.67,0.84,673.53,680.96,673.53,37765,1292538,1.84E+08
2018-09-21,673.78,9.09,1.37,667.82,674.25,666.55,47733,2540406,1.83E+08
2018-09-20,664.69,5.86,0.89,662.08,666.3,655.86,30588,1036732,1.80E+08
2018-09-19,658.83,-8.6,-1.29,668.13,668.13,658.35,34898,1142172,1.78E+08
2018-09-18,667.43,-2.31,-0.34,665.65,668.34,662.94,24222,839782,1.81E+08
2018-09-17,669.74,-2.43,-0.36,672.35,672.46,667.07,20683,718229,1.81E+08
2018-09-14,672.17,6.43,0.97,669.21,672.88,668.81,24628,820581,1.82E+08
2018-09-13,665.74,5.66,0.86,660.86,668.23,659.89,26424,856305,1.80E+08
2018-09-12,660.08,2.3,0.35,660.55,661.57,652.8,25662,817453,1.78E+08
2018-09-11,657.78,0.32,0.05,657.9,659.62,654.83,24720,877074,1.78E+08
2018-09-10,657.46,10.61,1.64,645.9,657.48,645.58,31376,1021984,1.77E+08
2018-09-07,646.85,8.46,1.33,642.87,646.98,637.8,23801,820379,1.75E+08
2018-09-06,638.39,5.67,0.9,634.8,641.9,634.7,26687,879946,1.73E+08
2018-09-05,632.72,-0.79,-0.12,634.89,639.42,631.68,27348,677047,1.71E+08
2018-09-04,633.51,0.81,0.13,632.35,634.22,629.1,16983,489679,1.72E+08
2018-09-03,632.7,0.49,0.08,632.34,634.92,631.43,20389,535951,1.71E+08
2018-08-31,632.21,2.55,0.4,628.97,632.21,626.08,27829,700980,1.71E+08
2018-08-30,629.66,-5.07,-0.8,635.21,635.42,628.68,22182,699040,1.70E+08
2018-08-29,634.73,-0.77,-0.12,634.95,636,632.78,28446,956003,1.72E+08
2018-08-28,635.5,6.63,1.05,631.82,638.35,631.71,27247,833602,1.72E+08
2018-08-27,628.87,-7.49,-1.18,632.51,632.98,627.02,27381,908170,1.71E+08
2018-08-24,636.36,0.01,0,634.99,636.45,630.88,17423,531756,1.72E+08
2018-08-23,636.35,1.76,0.28,639.17,639.17,632.7,21912,769263,1.72E+08
2018-08-22,634.59,0.53,0.08,634.54,638.02,631.75,25244,1010872,1.72E+08
2018-08-21,634.06,1.83,0.29,631.73,635.27,629.19,20106,602451,1.72E+08
2018-08-20,632.23,7.24,1.16,629.91,634.09,629.74,27532,700060,1.71E+08
2018-08-17,624.99,1.61,0.26,,,,,,
2018-08-16,623.38,-5.15,-0.82,,,,,,
2018-08-14,628.53,8.06,1.3,,,,,,
2018-08-13,620.47,-11.66,-1.84,,,,,,
2018-08-10,632.13,3.4,0.54,,,,,,
2018-08-09,628.73,-1.09,-0.17,,,,,,
2018-08-08,629.82,-3.62,-0.57,,,,,,
2018-08-07,633.44,4.66,0.74,,,,,,
2018-08-06,628.78,-0.88,-0.14,,,,,,
2018-08-03,629.66,10.52,1.7,,,,,,
