date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2019-09-25,808.09,-3.98,-0.49,811.72,817.39,808.09,14986,294376,1.42E+08
2019-09-24,812.07,-0.34,-0.04,812.79,815.31,807.51,13298,255258,1.43E+08
2019-09-23,812.41,-4.01,-0.49,810.43,813.65,809.24,10526,215468,1.43E+08
2019-09-20,816.42,12.3,1.53,803.76,816.42,801.03,17659,385046,1.44E+08
2019-09-19,804.12,-7.87,-0.97,810.91,813.87,801.05,13233,260717,1.42E+08
2019-09-18,811.99,-3.25,-0.4,815.45,816.41,807.58,14038,283821,1.43E+08
2019-09-17,815.24,-5.23,-0.64,814.91,816.69,810.77,14279,302040,1.44E+08
2019-09-16,820.47,15.47,1.92,810.32,824.93,808.34,24234,433967,1.45E+08
2019-09-11,805,10.56,1.33,799.68,808.88,799.49,26368,531646,1.42E+08
2019-09-10,794.44,16.27,2.09,782.09,797.86,782.09,16456,357399,1.40E+08
2019-09-09,778.17,6.06,0.78,771.64,783.28,771.29,13563,251528,1.37E+08
2019-09-06,772.11,4.23,0.55,770.15,779.03,768.79,13949,269698,1.36E+08
2019-09-05,767.88,0.54,0.07,763.81,777.53,762.97,16998,310083,1.36E+08
2019-09-04,767.34,7.64,1.01,758,767.55,757.56,14992,263655,1.36E+08
2019-09-03,759.7,-4.66,-0.61,761.39,767.17,757.78,12256,206427,1.34E+08
2019-09-02,764.36,-0.34,-0.04,760.19,767.64,758,10639,176215,1.35E+08
2019-08-30,764.7,18.25,2.44,752.11,764.76,752.11,27735,396465,1.35E+08
2019-08-29,746.45,0.99,0.13,745.93,748.22,741.68,10732,185619,1.32E+08
2019-08-28,745.46,4.49,0.61,743.62,746.75,740.9,12822,212213,1.32E+08
2019-08-27,740.97,-3.82,-0.51,747.46,748.35,740.11,26374,385957,1.31E+08
2019-08-26,744.79,-8.62,-1.14,743.5,749.05,738.82,13560,244232,1.32E+08
2019-08-23,753.41,-3.99,-0.53,754.42,757.34,751.3,16107,212612,1.33E+08
2019-08-22,757.4,1.14,0.15,757.91,761.14,756.18,16207,266286,1.34E+08
2019-08-21,756.26,0.67,0.09,752.96,757.97,752.96,13749,259606,1.34E+08
2019-08-20,755.59,-0.44,-0.06,754.18,758.4,748.74,18275,313242,1.34E+08
2019-08-19,756.03,13.22,1.78,746.86,757.85,746.43,14857,259377,1.34E+08
2019-08-16,742.81,-6.32,-0.84,743.76,745.83,736.94,22364,369502,1.31E+08
2019-08-14,749.13,-3.51,-0.47,755.46,759.71,749.13,19903,411375,1.32E+08
2019-08-13,752.64,-10.41,-1.36,758.35,759.75,751.94,18925,351912,1.33E+08
2019-08-12,763.05,-11.32,-1.46,772.49,773.55,762.62,17342,333747,1.35E+08
2019-08-09,774.37,0.6,0.08,779.17,783.44,774.37,35712,554032,1.37E+08
2019-08-08,773.77,2.15,0.28,775.14,782.18,772.17,37750,624686,1.37E+08
2019-08-07,771.62,-14.01,-1.78,784.19,784.22,770.34,43021,577606,1.36E+08
2019-08-06,785.63,-8.71,-1.1,779.86,793.87,772.4,47957,699337,1.39E+08
2019-08-05,794.34,-9.65,-1.2,800.18,800.31,790.6,24019,385902,1.40E+08
2019-08-02,803.99,-26.37,-3.18,824.69,825.06,803.01,20123,393754,1.42E+08
2019-08-01,830.36,0.9,0.11,827.78,835.48,823.39,13298,267534,1.47E+08
2019-07-31,829.46,0.52,0.06,826.41,834.27,824.84,17923,343072,1.47E+08
2019-07-30,828.94,-4.97,-0.6,831.34,832.46,825.92,13604,258204,1.47E+08
2019-07-29,833.91,-7.81,-0.93,840.97,844.69,829.57,18368,306645,1.47E+08
2019-07-26,841.72,-7.36,-0.87,844.21,844.89,837.39,17766,356168,1.49E+08
2019-07-25,849.08,-13.89,-1.61,859.47,860.77,846.36,14779,289597,1.50E+08
2019-07-24,862.97,-8.65,-0.99,870.99,872.58,862.42,12575,239307,1.52E+08
2019-07-23,871.62,9.96,1.16,861.84,873.06,859.69,13389,278550,1.54E+08
2019-07-22,861.66,-4.29,-0.5,861.28,863.48,857.65,9476,196954,1.52E+08
2019-07-19,865.95,14.34,1.68,855.53,867.27,853.87,12218,297385,1.53E+08
2019-07-18,851.61,-7.14,-0.83,853.63,857.21,848.55,14817,311751,1.51E+08
2019-07-17,858.75,-0.53,-0.06,855.26,858.75,853.31,12392,226479,1.52E+08
2019-07-16,859.28,4.9,0.57,855.74,859.44,851.98,15267,276587,1.52E+08
2019-07-15,854.38,0.29,0.03,852.07,857.02,849.63,11229,257301,1.51E+08
2019-07-12,854.09,3.6,0.42,850.33,854.32,846.61,11490,245183,1.51E+08
2019-07-11,850.49,5.74,0.68,842.91,852.39,842.8,18634,377837,1.51E+08
2019-07-10,844.75,1.65,0.2,845.15,846.52,842.51,12907,259677,1.50E+08
2019-07-09,843.1,-5.5,-0.65,850.06,851.83,842.85,11558,228642,1.50E+08
2019-07-08,848.6,-12.56,-1.46,857.19,858.53,848.1,14733,267378,1.51E+08
2019-07-05,861.16,-4.85,-0.56,865.73,867.27,857.34,10222,233710,1.53E+08
2019-07-04,866.01,5.19,0.6,862.36,866.4,858.34,11661,241679,1.54E+08
2019-07-03,860.82,-19.31,-2.19,878.68,879.07,859.8,26331,400930,1.53E+08
2019-07-02,880.13,-4.7,-0.53,881.16,881.72,876.51,14008,295551,1.56E+08
2019-07-01,884.83,4.07,0.46,888.6,890.11,884.75,10707,251986,1.57E+08
2019-06-28,880.76,-4.36,-0.49,884.42,888.08,880.08,13484,266927,1.57E+08
2019-06-27,885.12,4.22,0.48,875.39,886.26,874.48,12747,283560,1.58E+08
2019-06-26,880.9,3.05,0.35,873.34,881.21,870.82,14786,328184,1.57E+08
2019-06-25,877.85,-3.8,-0.43,882.3,887.44,874.22,18617,337882,1.56E+08
2019-06-24,881.65,3.89,0.44,879.79,883.85,875.6,17061,302780,1.57E+08
2019-06-21,877.76,-0.47,-0.05,878.19,883.99,877.32,21954,459581,1.56E+08
2019-06-20,878.23,-7.44,-0.84,882.78,886.3,877.87,15176,334151,1.56E+08
2019-06-19,885.67,8.07,0.92,884.96,886.55,883.23,17226,344858,1.57E+08
2019-06-18,877.6,3.91,0.45,874.51,879.05,874.36,22914,511198,1.56E+08
2019-06-17,873.69,1.13,0.13,869.56,879.79,869.41,14514,240641,1.55E+08
2019-06-14,872.56,-0.44,-0.05,871.54,872.6,866.3,15276,268241,1.55E+08
2019-06-13,873,-5.56,-0.63,876.51,879.14,864.3,23013,436612,1.55E+08
2019-06-12,878.56,3.12,0.36,875.08,881,875.08,14019,276803,1.55E+08
2019-06-11,875.44,-0.73,-0.08,871.49,876.7,869.56,16025,365423,1.55E+08
2019-06-10,876.17,10.64,1.23,872.02,876.17,870.18,14633,271084,1.55E+08
2019-06-07,865.53,-0.25,-0.03,865.71,870.45,856.72,16160,311767,1.53E+08
2019-06-05,865.78,-10.61,-1.21,874.8,875.93,864.57,16927,322723,1.53E+08
2019-06-04,876.39,5.89,0.68,872.12,878.17,870.61,16097,288256,1.55E+08
2019-06-03,870.5,13.18,1.54,854.39,871.75,853.08,17501,323477,1.54E+08
2019-05-31,857.32,-7.69,-0.89,857.91,859.67,852.72,15930,326038,1.52E+08
2019-05-30,865.01,1.99,0.23,857.75,865.24,856.83,14389,268936,1.53E+08
2019-05-29,863.02,-17.19,-1.95,880.24,880.24,858.36,25356,392709,1.52E+08
2019-05-28,880.21,2.57,0.29,878.01,880.41,872.84,73292,844781,1.55E+08
2019-05-27,877.64,-4.43,-0.5,880.92,880.92,873.98,13353,260714,1.55E+08
2019-05-24,882.07,6.93,0.79,872.61,883.76,872.61,14811,284740,1.55E+08
2019-05-23,875.14,-0.27,-0.03,875.61,879.48,871.61,13339,254366,1.54E+08
2019-05-22,875.41,-0.04,0,876.74,878.49,867.98,14657,287442,1.54E+08
2019-05-21,875.45,4.78,0.55,867.6,877.96,867.6,12748,256523,1.54E+08
2019-05-20,870.67,5.83,0.67,868.23,878.65,868.04,12376,230640,1.54E+08
2019-05-17,864.84,-2.47,-0.28,868.64,876.75,864.75,17160,335382,1.53E+08
2019-05-16,867.31,-2.95,-0.34,867.34,872.64,864.22,16248,362329,1.53E+08
